"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
SENATE 2011,,,Last Updated,,,,,,,,,
,,,1/4/2012,,,,,,,,,
OFFICIAL,"DATE OF 
PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC 
PURPOSE","NOTICE 
RECEIVED","YTD AMOUNT 
BY MEMBER"
,11/22/11,Pacific Gas & Electric Company,Sacramento,CA,"2,500",Twin Lakes Food Bank,Folsom,CA,Support for food bank community efforts,Charitable,12/8/11,
,11/21/11,Pacific Gas & Electric Company,Sacramento,CA,"2,500","Courage To Be You, Inc.",Rocklin,CA,To support the nonprofit's efforts to help youth,Charitable,12/8/11,
,,,,,,,,,,,,"17,754"
"Harman, Thomas",7/26/11,Barona Band of Mission Indians,Lakeside,CA,"5,000",J.H. McGaugh Elementary School,Seal Beach,CA,2011 Barona Education Grant for electronic equipment for students in special day classrooms.  Grant required endorsement letter from a legislator.,Charitable,8/24/11,
,7/26/11,Barona Band of Mission Indians,Lakeside,CA,"5,000",J.H. McGaugh Elementary School,Seal Beach,CA,2011 Barona Education Grant for electronic equipment for students in special day classrooms.  Grant required endorsement letter from a legislator.,Charitable,8/29/11,
,,,,,,,,,,,,"10,000"
"Hernandez, Ed",7/11/11,Barona Band of Mission Indians,Lakeside,CA,"5,000",Durfee School,El Monte,CA,Educational Grant to school to assist in the purchase of computer equipment.,Charitable,8/4/11,
,6/20/11,Kaiser Permanente,Oakland,CA,"10,000",East Valley Community Health Center,West Covina,CA,Monetary contribution to health clinic to provide healthcare services to the low-income and underserved populations of the East San Gabriel and Pomona Valley,Charitable,8/18/11,
,6/20/11,Citrus Valley Health Partners,Covina,CA,"5,000",East Valley Community Health Center,West Covina,CA,Monetary contribution to health clinic to provide healthcare services to the low-income and underserved populations of the East San Gabriel and Pomona Valley,Charitable,8/18/11,
,6/20/11,Lab Corp,Burlington,CA,"5,000",East Valley Community Health Center,West Covina,CA,Monetary contribution to health clinic to provide healthcare services to the low-income and underserved populations of the East San Gabriel and Pomona Valley,Charitable,8/18/11,
,6/20/11,Majestic Realty Company,City of Industry,CA,"5,000",East Valley Community Health Center,West Covina,CA,Monetary contribution to health clinic to provide healthcare services to the low-income and underserved populations of the East San Gabriel and Pomona Valley,Charitable,8/18/11,
,,,,,,,,,,,,"30,000"
"Hollingsworth, Dennis",11/01-11/30/10,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"36,444",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,1/7/11,
,,,,,,,,,,,,"36,444"
"Huff, Bob",12/1-12/31/10,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"4,361",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,8/3/11,
,3/1/11,Pacific Legal Foundation,Sacramento,CA,"13,100","Sharon L. Browne, Principal Attorney, Pacific Legal Foundation",Sacramento,CA,"Pro bono legal services performed for Brief Amicus Curiae on behalf of Senator Huff and Parents for Choice. (Walnut Valley USD et al., Petitioners v. Sup Court of LA, Resp. Rowland USD et al.  Representing Senator Huff, Parents for Choice and Petitioners in litigation that was pending in LA County Superior Court.  The case has been decided.",Governmental,3/16/11,
,2/1-2/28/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"2,020",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensaton for pro bono legal services  performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,4/4/11,
,3/1-3/31/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"4,400",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensaton for pro bono legal services  performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,4/28/11,
,5/5/11,Barona Band of Mission Indians,Lakeside,CA,"5,000",Oxford Preparatory Academy,Chino,CA,Grant to assist in the purchase of Apple iPads and VGA computers.,Charitable,5/23/11,
,4/1-4/30-11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"1,650",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensaton for pro bono legal services  performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",Governmental,5/26/11,
,,,,,,,,,,,,"30,531"
"Kehoe, Christine",2/14/11,Barona Band of Mission Indians,Lakeside,CA,"5,000",Longfellow Spanish Immersion Magnet School,San Diego,CA,Grant to assist in the purchase of English and Spanish books.,Charitable,3/2/11,
,,,,,,,,,,,,"5,000"
"LaMalfa, Doug",12/1-12/31/10,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,"4,361",Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",San Francisco,3/11/11,
,1/1-1/31/11,Akin Gump Strauss Hauer & Feld LLP,San Francisco,CA,323,Partners and employees of Akin Gump Strauss Hauer & Feld LLP (compensation for services provided),San Francisco,CA,"Compensation for pro bono legal services performed for Intervenors in litigation (Coleman, et al. v. Schwarzenegger et al. and Plata, et al. v. Schwarzenegger et al.); Representation of Members of California Legislature who are Intervenors in litigation pending in the U.S. District Court, Eastern and Northern Districts, California.",San Francisco,3/11/11,
