"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
ASSEMBLY 2013,,,,,,Last Updated: 03/27/2014,,,,,,
,,,,,,,,,,,,
OFFICIAL,"DATE OF PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC PURPOSE","NOTICE RECEIVED","YTD AMOUNT BY MEMBER"
,03/15/13,Pechanga Band of Luiseno Indians,Temecula,CA,"5,000",California Legislative Black Caucus,Los Angeles,CA,California Legislative Black Caucus-Women's History Month Breakfast,Charitable,04/23/13,
,03/15/13,State Buildings & Construction Trades Council of California,Sacramento,CA,"5,000",California Legislative Black Caucus,Los Angeles,CA,California Legislative Black Caucus-Women's History Month Breakfast,Charitable,04/23/13,
,06/04/13,SEIU-United Longterm Care Workers,Los Angeles,CA,"25,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Annual sponsorship of the California Legislative Black Caucus Policy Institute to benefit scholarships and college preparedness programs,Charitable,12/02/13,
,06/04/13,AT&T,Sacramento,CA,"25,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Annual sponsorship of the California Legislative Black Caucus Policy Institute to benefit scholarships and college preparedness programs,Charitable,12/02/13,
,06/04/13,AFSCME-CA People,Sacramento,CA,"25,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Annual sponsorship of the California Legislative Black Caucus Policy Institute to benefit scholarships and college preparedness programs,Charitable,12/02/13,
,06/19/13,Dodgers Dream Foundation,Los Angeles,CA,"15,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Annual sponsorship of the California Legislative Black Caucus Policy Institute to benefit scholarships and college preparedness programs,Charitable,12/02/13,
,07/01/13,PXP,Los Angeles,CA,"10,000",Community Partners,Los Angeles,CA,Christmas in July,Charitable,07/24/13,
,07/02/13,Alta Med,Los Angeles,CA,"5,000",Community Partners,Los Angeles,CA,Christmas in July,Charitable,07/24/13,
,07/02/13,Wells Fargo Bank,Los Angeles,CA,"5,000",Community Partners,Los Angeles,CA,Christmas in July,Charitable,07/24/13,
,07/02/13,State Farm,Culver City,CA,"5,000",Community Partners,Los Angeles,CA,Christmas in July,Charitable,07/24/13,
,07/02/13,SEIU-721,Los Angeles,CA,"5,000",Community Partners,Los Angeles,CA,Christmas in July,Charitable,07/24/13,
,07/12/13,Hewlett Packard  ,Palo Alto,CA,"10,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Annual sponsorship of the California Legislative Black Caucus Policy Institute to benefit scholarships and college preparedness programs,Charitable,12/02/13,
,07/19/13,Services Employees International Union 721,Los Angeles,CA,"5,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Annual sponsorship of the California Legislative Black Caucus Policy Institute to benefit scholarships and college preparedness programs,Charitable,12/02/13,
,07/23/13,California Correctional Peace Officers Association,West Sacramento,CA,"5,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Annual sponsorship of the California Legislative Black Caucus Policy Institute to benefit scholarships and college preparedness programs,Charitable,12/02/13,
,08/23/13,CSU Foundation,Long Beach,CA,"16,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Annual sponsorship of the California Legislative Black Caucus Policy Institute to benefit scholarships and college preparedness programs,Charitable,12/02/13,
,08/26/13,Multistate Association,Alexandria,VA,"16,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Contribution to CLBC-PI Leadership Symposium,Charitable,11/14/13,
,08/30/13,Allied Insurance,Sacramento,CA,"8,500",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Annual sponsorship of the California Legislative Black Caucus Policy Institute to benefit scholarships and college preparedness programs,Charitable,12/02/13,
,08/30/13,Farmers Insurance Group,Sacramento,CA,"18,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Contribution to CLBC-PI Leadership Symposium,Charitable,11/14/13,
,09/05/13,California Dental PAC,Sacramento,CA,"15,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Contribution to CLBC-PI Leadership Symposium,Charitable,11/14/13,
,09/05/13,California Bankers Association,Sacramento,CA,"5,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Contribution to CLBC-PI Leadership Symposium,Charitable,11/14/13,
,09/05/13,California Correctional Peace Officers Association,Sacramento,CA,"5,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Contribution to CLBC-PI Leadership Symposium,Charitable,11/14/13,
,09/05/13,Sempra Energy,San Diego,CA,"15,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Contribution to CLBC-PI Leadership Symposium,Charitable,11/14/13,
,09/07/13,Pacific Gas and Electric,Sacramento,CA,"50,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Contribution to CLBC-PI Leadership Symposium,Charitable,11/14/13,
